id,zone,start,end,transaction_hour,meter_transactions,spaces,rate,type,free_spaces
5050,407 - Oakland 1,1/4/2014 11:40,1/4/2014 11:50,11,9,220,3,on-street,211
5050,407 - Oakland 1,1/4/2014 11:40,1/4/2014 11:50,11,9,227,3,on-street,218
5084,407 - Oakland 1,1/4/2014 11:50,1/4/2014 12:00,11,13,220,3,on-street,207
5084,407 - Oakland 1,1/4/2014 11:50,1/4/2014 12:00,11,13,227,3,on-street,214
5119,407 - Oakland 1,1/4/2014 12:00,1/4/2014 12:10,12,15,220,3,on-street,205
5119,407 - Oakland 1,1/4/2014 12:00,1/4/2014 12:10,12,15,227,3,on-street,212
5153,407 - Oakland 1,1/4/2014 12:10,1/4/2014 12:20,12,14,220,3,on-street,206
5153,407 - Oakland 1,1/4/2014 12:10,1/4/2014 12:20,12,14,227,3,on-street,213
5186,407 - Oakland 1,1/4/2014 12:20,1/4/2014 12:30,12,14,220,3,on-street,206
5186,407 - Oakland 1,1/4/2014 12:20,1/4/2014 12:30,12,14,227,3,on-street,213
5216,407 - Oakland 1,1/4/2014 12:30,1/4/2014 12:40,12,12,220,3,on-street,208
5216,407 - Oakland 1,1/4/2014 12:30,1/4/2014 12:40,12,12,227,3,on-street,215
5251,407 - Oakland 1,1/4/2014 12:40,1/4/2014 12:50,12,13,220,3,on-street,207
5251,407 - Oakland 1,1/4/2014 12:40,1/4/2014 12:50,12,13,227,3,on-street,214
5286,407 - Oakland 1,1/4/2014 12:50,1/4/2014 13:00,12,11,220,3,on-street,209
5286,407 - Oakland 1,1/4/2014 12:50,1/4/2014 13:00,12,11,227,3,on-street,216
5320,407 - Oakland 1,1/4/2014 13:00,1/4/2014 13:10,13,13,220,3,on-street,207
5320,407 - Oakland 1,1/4/2014 13:00,1/4/2014 13:10,13,13,227,3,on-street,214
5353,407 - Oakland 1,1/4/2014 13:10,1/4/2014 13:20,13,17,220,3,on-street,203
5353,407 - Oakland 1,1/4/2014 13:10,1/4/2014 13:20,13,17,227,3,on-street,210
5389,407 - Oakland 1,1/4/2014 13:20,1/4/2014 13:30,13,12,220,3,on-street,208
5389,407 - Oakland 1,1/4/2014 13:20,1/4/2014 13:30,13,12,227,3,on-street,215
5425,407 - Oakland 1,1/4/2014 13:30,1/4/2014 13:40,13,13,220,3,on-street,207
5425,407 - Oakland 1,1/4/2014 13:30,1/4/2014 13:40,13,13,227,3,on-street,214
5456,407 - Oakland 1,1/4/2014 13:40,1/4/2014 13:50,13,11,220,3,on-street,209
5456,407 - Oakland 1,1/4/2014 13:40,1/4/2014 13:50,13,11,227,3,on-street,216
5487,407 - Oakland 1,1/4/2014 13:50,1/4/2014 14:00,13,12,220,3,on-street,208
5487,407 - Oakland 1,1/4/2014 13:50,1/4/2014 14:00,13,12,227,3,on-street,215
5519,407 - Oakland 1,1/4/2014 14:00,1/4/2014 14:10,14,10,220,3,on-street,210
5519,407 - Oakland 1,1/4/2014 14:00,1/4/2014 14:10,14,10,227,3,on-street,217
5552,407 - Oakland 1,1/4/2014 14:10,1/4/2014 14:20,14,12,220,3,on-street,208
5552,407 - Oakland 1,1/4/2014 14:10,1/4/2014 14:20,14,12,227,3,on-street,215
5582,407 - Oakland 1,1/4/2014 14:20,1/4/2014 14:30,14,13,220,3,on-street,207
5582,407 - Oakland 1,1/4/2014 14:20,1/4/2014 14:30,14,13,227,3,on-street,214
5614,407 - Oakland 1,1/4/2014 14:30,1/4/2014 14:40,14,10,220,3,on-street,210
