,zone,start,day_of_week,date,time,total_spaces,free_spaces
0,403 - Uptown,2018-01-01 00:00:00-05:00,Monday,01-01,00:00:00,756,756
1,403 - Uptown,2018-01-01 00:10:00-05:00,Monday,01-01,00:10:00,756,756
2,403 - Uptown,2018-01-01 00:20:00-05:00,Monday,01-01,00:20:00,756,756
3,403 - Uptown,2018-01-01 00:30:00-05:00,Monday,01-01,00:30:00,756,756
4,403 - Uptown,2018-01-01 00:40:00-05:00,Monday,01-01,00:40:00,756,756
5,403 - Uptown,2018-01-01 00:50:00-05:00,Monday,01-01,00:50:00,756,756
6,403 - Uptown,2018-01-01 01:00:00-05:00,Monday,01-01,01:00:00,756,756
7,403 - Uptown,2018-01-01 01:10:00-05:00,Monday,01-01,01:10:00,756,755
8,403 - Uptown,2018-01-01 01:20:00-05:00,Monday,01-01,01:20:00,756,755
9,403 - Uptown,2018-01-01 01:30:00-05:00,Monday,01-01,01:30:00,756,755
10,403 - Uptown,2018-01-01 01:40:00-05:00,Monday,01-01,01:40:00,756,755
11,403 - Uptown,2018-01-01 01:50:00-05:00,Monday,01-01,01:50:00,756,755
12,403 - Uptown,2018-01-01 02:00:00-05:00,Monday,01-01,02:00:00,756,755
13,403 - Uptown,2018-01-01 02:10:00-05:00,Monday,01-01,02:10:00,756,755
14,403 - Uptown,2018-01-01 02:20:00-05:00,Monday,01-01,02:20:00,756,755
15,403 - Uptown,2018-01-01 02:30:00-05:00,Monday,01-01,02:30:00,756,755
16,403 - Uptown,2018-01-01 02:40:00-05:00,Monday,01-01,02:40:00,756,755
17,403 - Uptown,2018-01-01 02:50:00-05:00,Monday,01-01,02:50:00,756,755
18,403 - Uptown,2018-01-01 03:00:00-05:00,Monday,01-01,03:00:00,756,755
19,403 - Uptown,2018-01-01 03:10:00-05:00,Monday,01-01,03:10:00,756,755
20,403 - Uptown,2018-01-01 03:20:00-05:00,Monday,01-01,03:20:00,756,755
21,403 - Uptown,2018-01-01 03:30:00-05:00,Monday,01-01,03:30:00,756,755
22,403 - Uptown,2018-01-01 03:40:00-05:00,Monday,01-01,03:40:00,756,755
23,403 - Uptown,2018-01-01 03:50:00-05:00,Monday,01-01,03:50:00,756,755
24,403 - Uptown,2018-01-01 04:00:00-05:00,Monday,01-01,04:00:00,756,755
25,403 - Uptown,2018-01-01 04:10:00-05:00,Monday,01-01,04:10:00,756,755
26,403 - Uptown,2018-01-01 04:20:00-05:00,Monday,01-01,04:20:00,756,755
27,403 - Uptown,2018-01-01 04:30:00-05:00,Monday,01-01,04:30:00,756,755
28,403 - Uptown,2018-01-01 04:40:00-05:00,Monday,01-01,04:40:00,756,755
29,403 - Uptown,2018-01-01 04:50:00-05:00,Monday,01-01,04:50:00,756,755
30,403 - Uptown,2018-01-01 05:00:00-05:00,Monday,01-01,05:00:00,756,755
31,403 - Uptown,2018-01-01 05:10:00-05:00,Monday,01-01,05:10:00,756,755
32,403 - Uptown,2018-01-01 05:20:00-05:00,Monday,01-01,05:20:00,756,755
33,403 - Uptown,2018-01-01 05:30:00-05:00,Monday,01-01,05:30:00,756,755
34,403 - Uptown,2018-01-01 05:40:00-05:00,Monday,01-01,05:40:00,756,755
35,403 - Uptown,2018-01-01 05:50:00-05:00,Monday,01-01,05:50:00,756,755
36,403 - Uptown,2018-01-01 06:00:00-05:00,Monday,01-01,06:00:00,756,755
37,403 - Uptown,2018-01-01 06:10:00-05:00,Monday,01-01,06:10:00,756,755
38,403 - Uptown,2018-01-01 06:20:00-05:00,Monday,01-01,06:20:00,756,755
39,403 - Uptown,2018-01-01 06:30:00-05:00,Monday,01-01,06:30:00,756,755
40,403 - Uptown,2018-01-01 06:40:00-05:00,Monday,01-01,06:40:00,756,755
41,403 - Uptown,2018-01-01 06:50:00-05:00,Monday,01-01,06:50:00,756,755
42,403 - Uptown,2018-01-01 07:00:00-05:00,Monday,01-01,07:00:00,756,755
43,403 - Uptown,2018-01-01 07:10:00-05:00,Monday,01-01,07:10:00,756,755
44,403 - Uptown,2018-01-01 07:20:00-05:00,Monday,01-01,07:20:00,756,755
45,403 - Uptown,2018-01-01 07:30:00-05:00,Monday,01-01,07:30:00,756,755
46,403 - Uptown,2018-01-01 07:40:00-05:00,Monday,01-01,07:40:00,756,755
47,403 - Uptown,2018-01-01 07:50:00-05:00,Monday,01-01,07:50:00,756,755
48,403 - Uptown,2018-01-01 08:00:00-05:00,Monday,01-01,08:00:00,756,755
49,403 - Uptown,2018-01-01 08:10:00-05:00,Monday,01-01,08:10:00,756,754
50,403 - Uptown,2018-01-01 08:20:00-05:00,Monday,01-01,08:20:00,756,754
51,403 - Uptown,2018-01-01 08:30:00-05:00,Monday,01-01,08:30:00,756,754
52,403 - Uptown,2018-01-01 08:40:00-05:00,Monday,01-01,08:40:00,756,754
53,403 - Uptown,2018-01-01 08:50:00-05:00,Monday,01-01,08:50:00,756,754
54,403 - Uptown,2018-01-01 09:00:00-05:00,Monday,01-01,09:00:00,756,754
55,403 - Uptown,2018-01-01 09:10:00-05:00,Monday,01-01,09:10:00,756,754
56,403 - Uptown,2018-01-01 09:20:00-05:00,Monday,01-01,09:20:00,756,753
57,403 - Uptown,2018-01-01 09:30:00-05:00,Monday,01-01,09:30:00,756,753
58,403 - Uptown,2018-01-01 09:40:00-05:00,Monday,01-01,09:40:00,756,753
59,403 - Uptown,2018-01-01 09:50:00-05:00,Monday,01-01,09:50:00,756,753
60,403 - Uptown,2018-01-01 10:00:00-05:00,Monday,01-01,10:00:00,756,753
61,403 - Uptown,2018-01-01 10:10:00-05:00,Monday,01-01,10:10:00,756,752
62,403 - Uptown,2018-01-01 10:20:00-05:00,Monday,01-01,10:20:00,756,753
63,403 - Uptown,2018-01-01 10:30:00-05:00,Monday,01-01,10:30:00,756,753
64,403 - Uptown,2018-01-01 10:40:00-05:00,Monday,01-01,10:40:00,756,753
65,403 - Uptown,2018-01-01 10:50:00-05:00,Monday,01-01,10:50:00,756,753
66,403 - Uptown,2018-01-01 11:00:00-05:00,Monday,01-01,11:00:00,756,753
67,403 - Uptown,2018-01-01 11:10:00-05:00,Monday,01-01,11:10:00,756,753
68,403 - Uptown,2018-01-01 11:20:00-05:00,Monday,01-01,11:20:00,756,749
69,403 - Uptown,2018-01-01 11:30:00-05:00,Monday,01-01,11:30:00,756,750
70,403 - Uptown,2018-01-01 11:40:00-05:00,Monday,01-01,11:40:00,756,750
71,403 - Uptown,2018-01-01 11:50:00-05:00,Monday,01-01,11:50:00,756,750
72,403 - Uptown,2018-01-01 12:00:00-05:00,Monday,01-01,12:00:00,756,751
73,403 - Uptown,2018-01-01 12:10:00-05:00,Monday,01-01,12:10:00,756,750
74,403 - Uptown,2018-01-01 12:20:00-05:00,Monday,01-01,12:20:00,756,751
75,403 - Uptown,2018-01-01 12:30:00-05:00,Monday,01-01,12:30:00,756,751
76,403 - Uptown,2018-01-01 12:40:00-05:00,Monday,01-01,12:40:00,756,750
