,zone,start,day_of_week,date,time,total_spaces,free_spaces
0,414 - Mellon Park,2018-01-01 00:00:00-05:00,Monday,01-01,00:00:00,76,76
1,414 - Mellon Park,2018-01-01 00:10:00-05:00,Monday,01-01,00:10:00,76,76
2,414 - Mellon Park,2018-01-01 00:20:00-05:00,Monday,01-01,00:20:00,76,76
3,414 - Mellon Park,2018-01-01 00:30:00-05:00,Monday,01-01,00:30:00,76,76
4,414 - Mellon Park,2018-01-01 00:40:00-05:00,Monday,01-01,00:40:00,76,76
5,414 - Mellon Park,2018-01-01 00:50:00-05:00,Monday,01-01,00:50:00,76,76
6,414 - Mellon Park,2018-01-01 01:00:00-05:00,Monday,01-01,01:00:00,76,76
7,414 - Mellon Park,2018-01-01 01:10:00-05:00,Monday,01-01,01:10:00,76,76
8,414 - Mellon Park,2018-01-01 01:20:00-05:00,Monday,01-01,01:20:00,76,76
9,414 - Mellon Park,2018-01-01 01:30:00-05:00,Monday,01-01,01:30:00,76,76
10,414 - Mellon Park,2018-01-01 01:40:00-05:00,Monday,01-01,01:40:00,76,76
11,414 - Mellon Park,2018-01-01 01:50:00-05:00,Monday,01-01,01:50:00,76,76
12,414 - Mellon Park,2018-01-01 02:00:00-05:00,Monday,01-01,02:00:00,76,76
13,414 - Mellon Park,2018-01-01 02:10:00-05:00,Monday,01-01,02:10:00,76,76
14,414 - Mellon Park,2018-01-01 02:20:00-05:00,Monday,01-01,02:20:00,76,76
15,414 - Mellon Park,2018-01-01 02:30:00-05:00,Monday,01-01,02:30:00,76,76
16,414 - Mellon Park,2018-01-01 02:40:00-05:00,Monday,01-01,02:40:00,76,76
17,414 - Mellon Park,2018-01-01 02:50:00-05:00,Monday,01-01,02:50:00,76,76
18,414 - Mellon Park,2018-01-01 03:00:00-05:00,Monday,01-01,03:00:00,76,76
19,414 - Mellon Park,2018-01-01 03:10:00-05:00,Monday,01-01,03:10:00,76,76
20,414 - Mellon Park,2018-01-01 03:20:00-05:00,Monday,01-01,03:20:00,76,76
21,414 - Mellon Park,2018-01-01 03:30:00-05:00,Monday,01-01,03:30:00,76,76
22,414 - Mellon Park,2018-01-01 03:40:00-05:00,Monday,01-01,03:40:00,76,76
23,414 - Mellon Park,2018-01-01 03:50:00-05:00,Monday,01-01,03:50:00,76,76
24,414 - Mellon Park,2018-01-01 04:00:00-05:00,Monday,01-01,04:00:00,76,76
25,414 - Mellon Park,2018-01-01 04:10:00-05:00,Monday,01-01,04:10:00,76,76
26,414 - Mellon Park,2018-01-01 04:20:00-05:00,Monday,01-01,04:20:00,76,76
27,414 - Mellon Park,2018-01-01 04:30:00-05:00,Monday,01-01,04:30:00,76,76
28,414 - Mellon Park,2018-01-01 04:40:00-05:00,Monday,01-01,04:40:00,76,76
29,414 - Mellon Park,2018-01-01 04:50:00-05:00,Monday,01-01,04:50:00,76,76
30,414 - Mellon Park,2018-01-01 05:00:00-05:00,Monday,01-01,05:00:00,76,76
31,414 - Mellon Park,2018-01-01 05:10:00-05:00,Monday,01-01,05:10:00,76,76
32,414 - Mellon Park,2018-01-01 05:20:00-05:00,Monday,01-01,05:20:00,76,76
33,414 - Mellon Park,2018-01-01 05:30:00-05:00,Monday,01-01,05:30:00,76,76
34,414 - Mellon Park,2018-01-01 05:40:00-05:00,Monday,01-01,05:40:00,76,76
35,414 - Mellon Park,2018-01-01 05:50:00-05:00,Monday,01-01,05:50:00,76,76
36,414 - Mellon Park,2018-01-01 06:00:00-05:00,Monday,01-01,06:00:00,76,76
37,414 - Mellon Park,2018-01-01 06:10:00-05:00,Monday,01-01,06:10:00,76,76
38,414 - Mellon Park,2018-01-01 06:20:00-05:00,Monday,01-01,06:20:00,76,76
39,414 - Mellon Park,2018-01-01 06:30:00-05:00,Monday,01-01,06:30:00,76,76
40,414 - Mellon Park,2018-01-01 06:40:00-05:00,Monday,01-01,06:40:00,76,76
41,414 - Mellon Park,2018-01-01 06:50:00-05:00,Monday,01-01,06:50:00,76,76
42,414 - Mellon Park,2018-01-01 07:00:00-05:00,Monday,01-01,07:00:00,76,76
43,414 - Mellon Park,2018-01-01 07:10:00-05:00,Monday,01-01,07:10:00,76,76
44,414 - Mellon Park,2018-01-01 07:20:00-05:00,Monday,01-01,07:20:00,76,76
45,414 - Mellon Park,2018-01-01 07:30:00-05:00,Monday,01-01,07:30:00,76,76
46,414 - Mellon Park,2018-01-01 07:40:00-05:00,Monday,01-01,07:40:00,76,76
47,414 - Mellon Park,2018-01-01 07:50:00-05:00,Monday,01-01,07:50:00,76,76
48,414 - Mellon Park,2018-01-01 08:00:00-05:00,Monday,01-01,08:00:00,76,76
49,414 - Mellon Park,2018-01-01 08:10:00-05:00,Monday,01-01,08:10:00,76,76
50,414 - Mellon Park,2018-01-01 08:20:00-05:00,Monday,01-01,08:20:00,76,76
51,414 - Mellon Park,2018-01-01 08:30:00-05:00,Monday,01-01,08:30:00,76,76
52,414 - Mellon Park,2018-01-01 08:40:00-05:00,Monday,01-01,08:40:00,76,76
53,414 - Mellon Park,2018-01-01 08:50:00-05:00,Monday,01-01,08:50:00,76,76
54,414 - Mellon Park,2018-01-01 09:00:00-05:00,Monday,01-01,09:00:00,76,76
55,414 - Mellon Park,2018-01-01 09:10:00-05:00,Monday,01-01,09:10:00,76,76
56,414 - Mellon Park,2018-01-01 09:20:00-05:00,Monday,01-01,09:20:00,76,76
57,414 - Mellon Park,2018-01-01 09:30:00-05:00,Monday,01-01,09:30:00,76,76
58,414 - Mellon Park,2018-01-01 09:40:00-05:00,Monday,01-01,09:40:00,76,76
59,414 - Mellon Park,2018-01-01 09:50:00-05:00,Monday,01-01,09:50:00,76,76
60,414 - Mellon Park,2018-01-01 10:00:00-05:00,Monday,01-01,10:00:00,76,76
61,414 - Mellon Park,2018-01-01 10:10:00-05:00,Monday,01-01,10:10:00,76,76
62,414 - Mellon Park,2018-01-01 10:20:00-05:00,Monday,01-01,10:20:00,76,76
63,414 - Mellon Park,2018-01-01 10:30:00-05:00,Monday,01-01,10:30:00,76,76
64,414 - Mellon Park,2018-01-01 10:40:00-05:00,Monday,01-01,10:40:00,76,76
65,414 - Mellon Park,2018-01-01 10:50:00-05:00,Monday,01-01,10:50:00,76,76
66,414 - Mellon Park,2018-01-01 11:00:00-05:00,Monday,01-01,11:00:00,76,76
67,414 - Mellon Park,2018-01-01 11:10:00-05:00,Monday,01-01,11:10:00,76,76
68,414 - Mellon Park,2018-01-01 11:20:00-05:00,Monday,01-01,11:20:00,76,76
69,414 - Mellon Park,2018-01-01 11:30:00-05:00,Monday,01-01,11:30:00,76,76
70,414 - Mellon Park,2018-01-01 11:40:00-05:00,Monday,01-01,11:40:00,76,76
71,414 - Mellon Park,2018-01-01 11:50:00-05:00,Monday,01-01,11:50:00,76,76
72,414 - Mellon Park,2018-01-01 12:00:00-05:00,Monday,01-01,12:00:00,76,76
73,414 - Mellon Park,2018-01-01 12:10:00-05:00,Monday,01-01,12:10:00,76,76
74,414 - Mellon Park,2018-01-01 12:20:00-05:00,Monday,01-01,12:20:00,76,76
75,414 - Mellon Park,2018-01-01 12:30:00-05:00,Monday,01-01,12:30:00,76,76
76,414 - Mellon Park,2018-01-01 12:40:00-05:00,Monday,01-01,12:40:00,76,76
77,414 - Mellon Park,2018-01-01 12:50:00-05:00,Monday,01-01,12:50:00,76,76
78,414 - Mellon Park,2018-01-01 13:00:00-05:00,Monday,01-01,13:00:00,76,76
79,414 - Mellon Park,2018-01-01 13:10:00-05:00,Monday,01-01,13:10:00,76,76
80,414 - Mellon Park,2018-01-01 13:20:00-05:00,Monday,01-01,13:20:00,76,76
81,414 - Mellon Park,2018-01-01 13:30:00-05:00,Monday,01-01,13:30:00,76,76
82,414 - Mellon Park,2018-01-01 13:40:00-05:00,Monday,01-01,13:40:00,76,76
83,414 - Mellon Park,2018-01-01 13:50:00-05:00,Monday,01-01,13:50:00,76,76
84,414 - Mellon Park,2018-01-01 14:00:00-05:00,Monday,01-01,14:00:00,76,76
85,414 - Mellon Park,2018-01-01 14:10:00-05:00,Monday,01-01,14:10:00,76,76
86,414 - Mellon Park,2018-01-01 14:20:00-05:00,Monday,01-01,14:20:00,76,76
87,414 - Mellon Park,2018-01-01 14:30:00-05:00,Monday,01-01,14:30:00,76,76
88,414 - Mellon Park,2018-01-01 14:40:00-05:00,Monday,01-01,14:40:00,76,76
89,414 - Mellon Park,2018-01-01 14:50:00-05:00,Monday,01-01,14:50:00,76,76
90,414 - Mellon Park,2018-01-01 15:00:00-05:00,Monday,01-01,15:00:00,76,76
91,414 - Mellon Park,2018-01-01 15:10:00-05:00,Monday,01-01,15:10:00,76,76
92,414 - Mellon Park,2018-01-01 15:20:00-05:00,Monday,01-01,15:20:00,76,76
93,414 - Mellon Park,2018-01-01 15:30:00-05:00,Monday,01-01,15:30:00,76,76
94,414 - Mellon Park,2018-01-01 15:40:00-05:00,Monday,01-01,15:40:00,76,76
95,414 - Mellon Park,2018-01-01 15:50:00-05:00,Monday,01-01,15:50:00,76,76
96,414 - Mellon Park,2018-01-01 16:00:00-05:00,Monday,01-01,16:00:00,76,76
97,414 - Mellon Park,2018-01-01 16:10:00-05:00,Monday,01-01,16:10:00,76,76
98,414 - Mellon Park,2018-01-01 16:20:00-05:00,Monday,01-01,16:20:00,76,76
99,414 - Mellon Park,2018-01-01 16:30:00-05:00,Monday,01-01,16:30:00,76,76
100,414 - Mellon Park,2018-01-01 16:40:00-05:00,Monday,01-01,16:40:00,76,76
101,414 - Mellon Park,2018-01-01 16:50:00-05:00,Monday,01-01,16:50:00,76,76
102,414 - Mellon Park,2018-01-01 17:00:00-05:00,Monday,01-01,17:00:00,76,76
103,414 - Mellon Park,2018-01-01 17:10:00-05:00,Monday,01-01,17:10:00,76,76
104,414 - Mellon Park,2018-01-01 17:20:00-05:00,Monday,01-01,17:20:00,76,76
105,414 - Mellon Park,2018-01-01 17:30:00-05:00,Monday,01-01,17:30:00,76,76
106,414 - Mellon Park,2018-01-01 17:40:00-05:00,Monday,01-01,17:40:00,76,76
107,414 - Mellon Park,2018-01-01 17:50:00-05:00,Monday,01-01,17:50:00,76,76
108,414 - Mellon Park,2018-01-01 18:00:00-05:00,Monday,01-01,18:00:00,76,76
