,zone,start,day_of_week,date,time,total_spaces,free_spaces
0,415 - SS & SSW,2018-01-01 00:00:00-05:00,Monday,01-01,00:00:00,707,707
1,415 - SS & SSW,2018-01-01 00:10:00-05:00,Monday,01-01,00:10:00,707,707
2,415 - SS & SSW,2018-01-01 00:20:00-05:00,Monday,01-01,00:20:00,707,707
3,415 - SS & SSW,2018-01-01 00:30:00-05:00,Monday,01-01,00:30:00,707,707
4,415 - SS & SSW,2018-01-01 00:40:00-05:00,Monday,01-01,00:40:00,707,707
5,415 - SS & SSW,2018-01-01 00:50:00-05:00,Monday,01-01,00:50:00,707,707
6,415 - SS & SSW,2018-01-01 01:00:00-05:00,Monday,01-01,01:00:00,707,707
7,415 - SS & SSW,2018-01-01 01:10:00-05:00,Monday,01-01,01:10:00,707,707
8,415 - SS & SSW,2018-01-01 01:20:00-05:00,Monday,01-01,01:20:00,707,707
9,415 - SS & SSW,2018-01-01 01:30:00-05:00,Monday,01-01,01:30:00,707,707
10,415 - SS & SSW,2018-01-01 01:40:00-05:00,Monday,01-01,01:40:00,707,707
11,415 - SS & SSW,2018-01-01 01:50:00-05:00,Monday,01-01,01:50:00,707,707
12,415 - SS & SSW,2018-01-01 02:00:00-05:00,Monday,01-01,02:00:00,707,707
13,415 - SS & SSW,2018-01-01 02:10:00-05:00,Monday,01-01,02:10:00,707,707
14,415 - SS & SSW,2018-01-01 02:20:00-05:00,Monday,01-01,02:20:00,707,707
15,415 - SS & SSW,2018-01-01 02:30:00-05:00,Monday,01-01,02:30:00,707,707
16,415 - SS & SSW,2018-01-01 02:40:00-05:00,Monday,01-01,02:40:00,707,707
17,415 - SS & SSW,2018-01-01 02:50:00-05:00,Monday,01-01,02:50:00,707,707
18,415 - SS & SSW,2018-01-01 03:00:00-05:00,Monday,01-01,03:00:00,707,707
19,415 - SS & SSW,2018-01-01 03:10:00-05:00,Monday,01-01,03:10:00,707,707
20,415 - SS & SSW,2018-01-01 03:20:00-05:00,Monday,01-01,03:20:00,707,707
21,415 - SS & SSW,2018-01-01 03:30:00-05:00,Monday,01-01,03:30:00,707,707
22,415 - SS & SSW,2018-01-01 03:40:00-05:00,Monday,01-01,03:40:00,707,707
23,415 - SS & SSW,2018-01-01 03:50:00-05:00,Monday,01-01,03:50:00,707,707
24,415 - SS & SSW,2018-01-01 04:00:00-05:00,Monday,01-01,04:00:00,707,707
25,415 - SS & SSW,2018-01-01 04:10:00-05:00,Monday,01-01,04:10:00,707,707
26,415 - SS & SSW,2018-01-01 04:20:00-05:00,Monday,01-01,04:20:00,707,707
27,415 - SS & SSW,2018-01-01 04:30:00-05:00,Monday,01-01,04:30:00,707,707
28,415 - SS & SSW,2018-01-01 04:40:00-05:00,Monday,01-01,04:40:00,707,707
29,415 - SS & SSW,2018-01-01 04:50:00-05:00,Monday,01-01,04:50:00,707,707
30,415 - SS & SSW,2018-01-01 05:00:00-05:00,Monday,01-01,05:00:00,707,707
31,415 - SS & SSW,2018-01-01 05:10:00-05:00,Monday,01-01,05:10:00,707,707
