,zone,start,day_of_week,date,time,total_spaces,free_spaces
0,416 - Carrick,2018-01-01 00:00:00-05:00,Monday,01-01,00:00:00,65,65
1,416 - Carrick,2018-01-01 00:10:00-05:00,Monday,01-01,00:10:00,65,65
2,416 - Carrick,2018-01-01 00:20:00-05:00,Monday,01-01,00:20:00,65,65
3,416 - Carrick,2018-01-01 00:30:00-05:00,Monday,01-01,00:30:00,65,65
4,416 - Carrick,2018-01-01 00:40:00-05:00,Monday,01-01,00:40:00,65,65
5,416 - Carrick,2018-01-01 00:50:00-05:00,Monday,01-01,00:50:00,65,65
6,416 - Carrick,2018-01-01 01:00:00-05:00,Monday,01-01,01:00:00,65,65
7,416 - Carrick,2018-01-01 01:10:00-05:00,Monday,01-01,01:10:00,65,65
8,416 - Carrick,2018-01-01 01:20:00-05:00,Monday,01-01,01:20:00,65,65
9,416 - Carrick,2018-01-01 01:30:00-05:00,Monday,01-01,01:30:00,65,65
10,416 - Carrick,2018-01-01 01:40:00-05:00,Monday,01-01,01:40:00,65,65
11,416 - Carrick,2018-01-01 01:50:00-05:00,Monday,01-01,01:50:00,65,65
12,416 - Carrick,2018-01-01 02:00:00-05:00,Monday,01-01,02:00:00,65,65
13,416 - Carrick,2018-01-01 02:10:00-05:00,Monday,01-01,02:10:00,65,65
14,416 - Carrick,2018-01-01 02:20:00-05:00,Monday,01-01,02:20:00,65,65
15,416 - Carrick,2018-01-01 02:30:00-05:00,Monday,01-01,02:30:00,65,65
16,416 - Carrick,2018-01-01 02:40:00-05:00,Monday,01-01,02:40:00,65,65
17,416 - Carrick,2018-01-01 02:50:00-05:00,Monday,01-01,02:50:00,65,65
18,416 - Carrick,2018-01-01 03:00:00-05:00,Monday,01-01,03:00:00,65,65
19,416 - Carrick,2018-01-01 03:10:00-05:00,Monday,01-01,03:10:00,65,65
20,416 - Carrick,2018-01-01 03:20:00-05:00,Monday,01-01,03:20:00,65,65
21,416 - Carrick,2018-01-01 03:30:00-05:00,Monday,01-01,03:30:00,65,65
22,416 - Carrick,2018-01-01 03:40:00-05:00,Monday,01-01,03:40:00,65,65
23,416 - Carrick,2018-01-01 03:50:00-05:00,Monday,01-01,03:50:00,65,65
24,416 - Carrick,2018-01-01 04:00:00-05:00,Monday,01-01,04:00:00,65,65
25,416 - Carrick,2018-01-01 04:10:00-05:00,Monday,01-01,04:10:00,65,65
26,416 - Carrick,2018-01-01 04:20:00-05:00,Monday,01-01,04:20:00,65,65
27,416 - Carrick,2018-01-01 04:30:00-05:00,Monday,01-01,04:30:00,65,65
28,416 - Carrick,2018-01-01 04:40:00-05:00,Monday,01-01,04:40:00,65,65
29,416 - Carrick,2018-01-01 04:50:00-05:00,Monday,01-01,04:50:00,65,65
30,416 - Carrick,2018-01-01 05:00:00-05:00,Monday,01-01,05:00:00,65,65
31,416 - Carrick,2018-01-01 05:10:00-05:00,Monday,01-01,05:10:00,65,65
32,416 - Carrick,2018-01-01 05:20:00-05:00,Monday,01-01,05:20:00,65,65
33,416 - Carrick,2018-01-01 05:30:00-05:00,Monday,01-01,05:30:00,65,65
34,416 - Carrick,2018-01-01 05:40:00-05:00,Monday,01-01,05:40:00,65,65
35,416 - Carrick,2018-01-01 05:50:00-05:00,Monday,01-01,05:50:00,65,65
36,416 - Carrick,2018-01-01 06:00:00-05:00,Monday,01-01,06:00:00,65,65
37,416 - Carrick,2018-01-01 06:10:00-05:00,Monday,01-01,06:10:00,65,65
38,416 - Carrick,2018-01-01 06:20:00-05:00,Monday,01-01,06:20:00,65,65
39,416 - Carrick,2018-01-01 06:30:00-05:00,Monday,01-01,06:30:00,65,65
40,416 - Carrick,2018-01-01 06:40:00-05:00,Monday,01-01,06:40:00,65,65
41,416 - Carrick,2018-01-01 06:50:00-05:00,Monday,01-01,06:50:00,65,65
42,416 - Carrick,2018-01-01 07:00:00-05:00,Monday,01-01,07:00:00,65,65
43,416 - Carrick,2018-01-01 07:10:00-05:00,Monday,01-01,07:10:00,65,65
44,416 - Carrick,2018-01-01 07:20:00-05:00,Monday,01-01,07:20:00,65,65
45,416 - Carrick,2018-01-01 07:30:00-05:00,Monday,01-01,07:30:00,65,65
46,416 - Carrick,2018-01-01 07:40:00-05:00,Monday,01-01,07:40:00,65,65
47,416 - Carrick,2018-01-01 07:50:00-05:00,Monday,01-01,07:50:00,65,65
48,416 - Carrick,2018-01-01 08:00:00-05:00,Monday,01-01,08:00:00,65,65
49,416 - Carrick,2018-01-01 08:10:00-05:00,Monday,01-01,08:10:00,65,65
50,416 - Carrick,2018-01-01 08:20:00-05:00,Monday,01-01,08:20:00,65,65
51,416 - Carrick,2018-01-01 08:30:00-05:00,Monday,01-01,08:30:00,65,65
52,416 - Carrick,2018-01-01 08:40:00-05:00,Monday,01-01,08:40:00,65,65
53,416 - Carrick,2018-01-01 08:50:00-05:00,Monday,01-01,08:50:00,65,65
54,416 - Carrick,2018-01-01 09:00:00-05:00,Monday,01-01,09:00:00,65,65
55,416 - Carrick,2018-01-01 09:10:00-05:00,Monday,01-01,09:10:00,65,65
56,416 - Carrick,2018-01-01 09:20:00-05:00,Monday,01-01,09:20:00,65,65
57,416 - Carrick,2018-01-01 09:30:00-05:00,Monday,01-01,09:30:00,65,65
58,416 - Carrick,2018-01-01 09:40:00-05:00,Monday,01-01,09:40:00,65,65
59,416 - Carrick,2018-01-01 09:50:00-05:00,Monday,01-01,09:50:00,65,65
60,416 - Carrick,2018-01-01 10:00:00-05:00,Monday,01-01,10:00:00,65,65
61,416 - Carrick,2018-01-01 10:10:00-05:00,Monday,01-01,10:10:00,65,65
62,416 - Carrick,2018-01-01 10:20:00-05:00,Monday,01-01,10:20:00,65,65
