,zone,start,day_of_week,date,time,total_spaces,free_spaces
0,417 - Allentown,2018-01-01 00:00:00-05:00,Monday,01-01,00:00:00,25,25
1,417 - Allentown,2018-01-01 00:10:00-05:00,Monday,01-01,00:10:00,25,25
2,417 - Allentown,2018-01-01 00:20:00-05:00,Monday,01-01,00:20:00,25,25
3,417 - Allentown,2018-01-01 00:30:00-05:00,Monday,01-01,00:30:00,25,25
4,417 - Allentown,2018-01-01 00:40:00-05:00,Monday,01-01,00:40:00,25,25
5,417 - Allentown,2018-01-01 00:50:00-05:00,Monday,01-01,00:50:00,25,25
6,417 - Allentown,2018-01-01 01:00:00-05:00,Monday,01-01,01:00:00,25,25
7,417 - Allentown,2018-01-01 01:10:00-05:00,Monday,01-01,01:10:00,25,25
8,417 - Allentown,2018-01-01 01:20:00-05:00,Monday,01-01,01:20:00,25,25
9,417 - Allentown,2018-01-01 01:30:00-05:00,Monday,01-01,01:30:00,25,25
10,417 - Allentown,2018-01-01 01:40:00-05:00,Monday,01-01,01:40:00,25,25
11,417 - Allentown,2018-01-01 01:50:00-05:00,Monday,01-01,01:50:00,25,25
12,417 - Allentown,2018-01-01 02:00:00-05:00,Monday,01-01,02:00:00,25,25
13,417 - Allentown,2018-01-01 02:10:00-05:00,Monday,01-01,02:10:00,25,25
14,417 - Allentown,2018-01-01 02:20:00-05:00,Monday,01-01,02:20:00,25,25
15,417 - Allentown,2018-01-01 02:30:00-05:00,Monday,01-01,02:30:00,25,25
16,417 - Allentown,2018-01-01 02:40:00-05:00,Monday,01-01,02:40:00,25,25
17,417 - Allentown,2018-01-01 02:50:00-05:00,Monday,01-01,02:50:00,25,25
18,417 - Allentown,2018-01-01 03:00:00-05:00,Monday,01-01,03:00:00,25,25
19,417 - Allentown,2018-01-01 03:10:00-05:00,Monday,01-01,03:10:00,25,25
20,417 - Allentown,2018-01-01 03:20:00-05:00,Monday,01-01,03:20:00,25,25
21,417 - Allentown,2018-01-01 03:30:00-05:00,Monday,01-01,03:30:00,25,25
22,417 - Allentown,2018-01-01 03:40:00-05:00,Monday,01-01,03:40:00,25,25
23,417 - Allentown,2018-01-01 03:50:00-05:00,Monday,01-01,03:50:00,25,25
24,417 - Allentown,2018-01-01 04:00:00-05:00,Monday,01-01,04:00:00,25,25
25,417 - Allentown,2018-01-01 04:10:00-05:00,Monday,01-01,04:10:00,25,25
26,417 - Allentown,2018-01-01 04:20:00-05:00,Monday,01-01,04:20:00,25,25
27,417 - Allentown,2018-01-01 04:30:00-05:00,Monday,01-01,04:30:00,25,25
28,417 - Allentown,2018-01-01 04:40:00-05:00,Monday,01-01,04:40:00,25,25
29,417 - Allentown,2018-01-01 04:50:00-05:00,Monday,01-01,04:50:00,25,25
30,417 - Allentown,2018-01-01 05:00:00-05:00,Monday,01-01,05:00:00,25,25
31,417 - Allentown,2018-01-01 05:10:00-05:00,Monday,01-01,05:10:00,25,25
32,417 - Allentown,2018-01-01 05:20:00-05:00,Monday,01-01,05:20:00,25,25
33,417 - Allentown,2018-01-01 05:30:00-05:00,Monday,01-01,05:30:00,25,25
34,417 - Allentown,2018-01-01 05:40:00-05:00,Monday,01-01,05:40:00,25,25
