,zone,start,day_of_week,date,time,total_spaces,free_spaces
0,419 - Brookline,2018-01-01 00:00:00-05:00,Monday,01-01,00:00:00,235,235
1,419 - Brookline,2018-01-01 00:10:00-05:00,Monday,01-01,00:10:00,235,235
2,419 - Brookline,2018-01-01 00:20:00-05:00,Monday,01-01,00:20:00,235,235
3,419 - Brookline,2018-01-01 00:30:00-05:00,Monday,01-01,00:30:00,235,235
4,419 - Brookline,2018-01-01 00:40:00-05:00,Monday,01-01,00:40:00,235,235
5,419 - Brookline,2018-01-01 00:50:00-05:00,Monday,01-01,00:50:00,235,235
6,419 - Brookline,2018-01-01 01:00:00-05:00,Monday,01-01,01:00:00,235,235
7,419 - Brookline,2018-01-01 01:10:00-05:00,Monday,01-01,01:10:00,235,235
8,419 - Brookline,2018-01-01 01:20:00-05:00,Monday,01-01,01:20:00,235,235
9,419 - Brookline,2018-01-01 01:30:00-05:00,Monday,01-01,01:30:00,235,235
10,419 - Brookline,2018-01-01 01:40:00-05:00,Monday,01-01,01:40:00,235,235
11,419 - Brookline,2018-01-01 01:50:00-05:00,Monday,01-01,01:50:00,235,235
12,419 - Brookline,2018-01-01 02:00:00-05:00,Monday,01-01,02:00:00,235,235
13,419 - Brookline,2018-01-01 02:10:00-05:00,Monday,01-01,02:10:00,235,235
14,419 - Brookline,2018-01-01 02:20:00-05:00,Monday,01-01,02:20:00,235,235
15,419 - Brookline,2018-01-01 02:30:00-05:00,Monday,01-01,02:30:00,235,235
16,419 - Brookline,2018-01-01 02:40:00-05:00,Monday,01-01,02:40:00,235,235
17,419 - Brookline,2018-01-01 02:50:00-05:00,Monday,01-01,02:50:00,235,235
18,419 - Brookline,2018-01-01 03:00:00-05:00,Monday,01-01,03:00:00,235,235
19,419 - Brookline,2018-01-01 03:10:00-05:00,Monday,01-01,03:10:00,235,235
20,419 - Brookline,2018-01-01 03:20:00-05:00,Monday,01-01,03:20:00,235,235
21,419 - Brookline,2018-01-01 03:30:00-05:00,Monday,01-01,03:30:00,235,235
22,419 - Brookline,2018-01-01 03:40:00-05:00,Monday,01-01,03:40:00,235,235
23,419 - Brookline,2018-01-01 03:50:00-05:00,Monday,01-01,03:50:00,235,235
24,419 - Brookline,2018-01-01 04:00:00-05:00,Monday,01-01,04:00:00,235,235
25,419 - Brookline,2018-01-01 04:10:00-05:00,Monday,01-01,04:10:00,235,235
26,419 - Brookline,2018-01-01 04:20:00-05:00,Monday,01-01,04:20:00,235,235
27,419 - Brookline,2018-01-01 04:30:00-05:00,Monday,01-01,04:30:00,235,235
28,419 - Brookline,2018-01-01 04:40:00-05:00,Monday,01-01,04:40:00,235,235
29,419 - Brookline,2018-01-01 04:50:00-05:00,Monday,01-01,04:50:00,235,235
30,419 - Brookline,2018-01-01 05:00:00-05:00,Monday,01-01,05:00:00,235,235
31,419 - Brookline,2018-01-01 05:10:00-05:00,Monday,01-01,05:10:00,235,235
32,419 - Brookline,2018-01-01 05:20:00-05:00,Monday,01-01,05:20:00,235,235
33,419 - Brookline,2018-01-01 05:30:00-05:00,Monday,01-01,05:30:00,235,235
34,419 - Brookline,2018-01-01 05:40:00-05:00,Monday,01-01,05:40:00,235,235
35,419 - Brookline,2018-01-01 05:50:00-05:00,Monday,01-01,05:50:00,235,235
36,419 - Brookline,2018-01-01 06:00:00-05:00,Monday,01-01,06:00:00,235,235
37,419 - Brookline,2018-01-01 06:10:00-05:00,Monday,01-01,06:10:00,235,235
38,419 - Brookline,2018-01-01 06:20:00-05:00,Monday,01-01,06:20:00,235,235
39,419 - Brookline,2018-01-01 06:30:00-05:00,Monday,01-01,06:30:00,235,235
40,419 - Brookline,2018-01-01 06:40:00-05:00,Monday,01-01,06:40:00,235,235
