,zone,start,day_of_week,date,time,total_spaces,free_spaces
0,421 - NorthSide,2018-01-01 00:00:00-05:00,Monday,01-01,00:00:00,757,757
1,421 - NorthSide,2018-01-01 00:10:00-05:00,Monday,01-01,00:10:00,757,757
2,421 - NorthSide,2018-01-01 00:20:00-05:00,Monday,01-01,00:20:00,757,756
3,421 - NorthSide,2018-01-01 00:30:00-05:00,Monday,01-01,00:30:00,757,756
4,421 - NorthSide,2018-01-01 00:40:00-05:00,Monday,01-01,00:40:00,757,756
5,421 - NorthSide,2018-01-01 00:50:00-05:00,Monday,01-01,00:50:00,757,756
6,421 - NorthSide,2018-01-01 01:00:00-05:00,Monday,01-01,01:00:00,757,756
7,421 - NorthSide,2018-01-01 01:10:00-05:00,Monday,01-01,01:10:00,757,756
8,421 - NorthSide,2018-01-01 01:20:00-05:00,Monday,01-01,01:20:00,757,755
9,421 - NorthSide,2018-01-01 01:30:00-05:00,Monday,01-01,01:30:00,757,755
10,421 - NorthSide,2018-01-01 01:40:00-05:00,Monday,01-01,01:40:00,757,755
11,421 - NorthSide,2018-01-01 01:50:00-05:00,Monday,01-01,01:50:00,757,755
12,421 - NorthSide,2018-01-01 02:00:00-05:00,Monday,01-01,02:00:00,757,755
13,421 - NorthSide,2018-01-01 02:10:00-05:00,Monday,01-01,02:10:00,757,755
14,421 - NorthSide,2018-01-01 02:20:00-05:00,Monday,01-01,02:20:00,757,755
15,421 - NorthSide,2018-01-01 02:30:00-05:00,Monday,01-01,02:30:00,757,755
16,421 - NorthSide,2018-01-01 02:40:00-05:00,Monday,01-01,02:40:00,757,755
17,421 - NorthSide,2018-01-01 02:50:00-05:00,Monday,01-01,02:50:00,757,755
18,421 - NorthSide,2018-01-01 03:00:00-05:00,Monday,01-01,03:00:00,757,755
19,421 - NorthSide,2018-01-01 03:10:00-05:00,Monday,01-01,03:10:00,757,755
20,421 - NorthSide,2018-01-01 03:20:00-05:00,Monday,01-01,03:20:00,757,755
21,421 - NorthSide,2018-01-01 03:30:00-05:00,Monday,01-01,03:30:00,757,755
22,421 - NorthSide,2018-01-01 03:40:00-05:00,Monday,01-01,03:40:00,757,755
23,421 - NorthSide,2018-01-01 03:50:00-05:00,Monday,01-01,03:50:00,757,755
24,421 - NorthSide,2018-01-01 04:00:00-05:00,Monday,01-01,04:00:00,757,755
25,421 - NorthSide,2018-01-01 04:10:00-05:00,Monday,01-01,04:10:00,757,755
26,421 - NorthSide,2018-01-01 04:20:00-05:00,Monday,01-01,04:20:00,757,755
27,421 - NorthSide,2018-01-01 04:30:00-05:00,Monday,01-01,04:30:00,757,755
28,421 - NorthSide,2018-01-01 04:40:00-05:00,Monday,01-01,04:40:00,757,755
29,421 - NorthSide,2018-01-01 04:50:00-05:00,Monday,01-01,04:50:00,757,755
30,421 - NorthSide,2018-01-01 05:00:00-05:00,Monday,01-01,05:00:00,757,755
31,421 - NorthSide,2018-01-01 05:10:00-05:00,Monday,01-01,05:10:00,757,755
32,421 - NorthSide,2018-01-01 05:20:00-05:00,Monday,01-01,05:20:00,757,755
33,421 - NorthSide,2018-01-01 05:30:00-05:00,Monday,01-01,05:30:00,757,755
34,421 - NorthSide,2018-01-01 05:40:00-05:00,Monday,01-01,05:40:00,757,755
35,421 - NorthSide,2018-01-01 05:50:00-05:00,Monday,01-01,05:50:00,757,755
36,421 - NorthSide,2018-01-01 06:00:00-05:00,Monday,01-01,06:00:00,757,755
37,421 - NorthSide,2018-01-01 06:10:00-05:00,Monday,01-01,06:10:00,757,755
38,421 - NorthSide,2018-01-01 06:20:00-05:00,Monday,01-01,06:20:00,757,755
39,421 - NorthSide,2018-01-01 06:30:00-05:00,Monday,01-01,06:30:00,757,755
40,421 - NorthSide,2018-01-01 06:40:00-05:00,Monday,01-01,06:40:00,757,755
41,421 - NorthSide,2018-01-01 06:50:00-05:00,Monday,01-01,06:50:00,757,755
42,421 - NorthSide,2018-01-01 07:00:00-05:00,Monday,01-01,07:00:00,757,755
43,421 - NorthSide,2018-01-01 07:10:00-05:00,Monday,01-01,07:10:00,757,755
44,421 - NorthSide,2018-01-01 07:20:00-05:00,Monday,01-01,07:20:00,757,755
45,421 - NorthSide,2018-01-01 07:30:00-05:00,Monday,01-01,07:30:00,757,755
46,421 - NorthSide,2018-01-01 07:40:00-05:00,Monday,01-01,07:40:00,757,755
47,421 - NorthSide,2018-01-01 07:50:00-05:00,Monday,01-01,07:50:00,757,755
48,421 - NorthSide,2018-01-01 08:00:00-05:00,Monday,01-01,08:00:00,757,754
49,421 - NorthSide,2018-01-01 08:10:00-05:00,Monday,01-01,08:10:00,757,753
50,421 - NorthSide,2018-01-01 08:20:00-05:00,Monday,01-01,08:20:00,757,753
51,421 - NorthSide,2018-01-01 08:30:00-05:00,Monday,01-01,08:30:00,757,752
52,421 - NorthSide,2018-01-01 08:40:00-05:00,Monday,01-01,08:40:00,757,752
53,421 - NorthSide,2018-01-01 08:50:00-05:00,Monday,01-01,08:50:00,757,752
54,421 - NorthSide,2018-01-01 09:00:00-05:00,Monday,01-01,09:00:00,757,752
55,421 - NorthSide,2018-01-01 09:10:00-05:00,Monday,01-01,09:10:00,757,752
56,421 - NorthSide,2018-01-01 09:20:00-05:00,Monday,01-01,09:20:00,757,752
57,421 - NorthSide,2018-01-01 09:30:00-05:00,Monday,01-01,09:30:00,757,752
58,421 - NorthSide,2018-01-01 09:40:00-05:00,Monday,01-01,09:40:00,757,752
59,421 - NorthSide,2018-01-01 09:50:00-05:00,Monday,01-01,09:50:00,757,752
60,421 - NorthSide,2018-01-01 10:00:00-05:00,Monday,01-01,10:00:00,757,752
61,421 - NorthSide,2018-01-01 10:10:00-05:00,Monday,01-01,10:10:00,757,752
62,421 - NorthSide,2018-01-01 10:20:00-05:00,Monday,01-01,10:20:00,757,752
63,421 - NorthSide,2018-01-01 10:30:00-05:00,Monday,01-01,10:30:00,757,752
64,421 - NorthSide,2018-01-01 10:40:00-05:00,Monday,01-01,10:40:00,757,751
65,421 - NorthSide,2018-01-01 10:50:00-05:00,Monday,01-01,10:50:00,757,751
66,421 - NorthSide,2018-01-01 11:00:00-05:00,Monday,01-01,11:00:00,757,750
67,421 - NorthSide,2018-01-01 11:10:00-05:00,Monday,01-01,11:10:00,757,749
68,421 - NorthSide,2018-01-01 11:20:00-05:00,Monday,01-01,11:20:00,757,749
69,421 - NorthSide,2018-01-01 11:30:00-05:00,Monday,01-01,11:30:00,757,747
70,421 - NorthSide,2018-01-01 11:40:00-05:00,Monday,01-01,11:40:00,757,745
71,421 - NorthSide,2018-01-01 11:50:00-05:00,Monday,01-01,11:50:00,757,743
72,421 - NorthSide,2018-01-01 12:00:00-05:00,Monday,01-01,12:00:00,757,745
73,421 - NorthSide,2018-01-01 12:10:00-05:00,Monday,01-01,12:10:00,757,746
74,421 - NorthSide,2018-01-01 12:20:00-05:00,Monday,01-01,12:20:00,757,745
75,421 - NorthSide,2018-01-01 12:30:00-05:00,Monday,01-01,12:30:00,757,745
76,421 - NorthSide,2018-01-01 12:40:00-05:00,Monday,01-01,12:40:00,757,747
77,421 - NorthSide,2018-01-01 12:50:00-05:00,Monday,01-01,12:50:00,757,747
78,421 - NorthSide,2018-01-01 13:00:00-05:00,Monday,01-01,13:00:00,757,746
79,421 - NorthSide,2018-01-01 13:10:00-05:00,Monday,01-01,13:10:00,757,748
80,421 - NorthSide,2018-01-01 13:20:00-05:00,Monday,01-01,13:20:00,757,748
81,421 - NorthSide,2018-01-01 13:30:00-05:00,Monday,01-01,13:30:00,757,748
82,421 - NorthSide,2018-01-01 13:40:00-05:00,Monday,01-01,13:40:00,757,750
83,421 - NorthSide,2018-01-01 13:50:00-05:00,Monday,01-01,13:50:00,757,750
84,421 - NorthSide,2018-01-01 14:00:00-05:00,Monday,01-01,14:00:00,757,749
85,421 - NorthSide,2018-01-01 14:10:00-05:00,Monday,01-01,14:10:00,757,749
86,421 - NorthSide,2018-01-01 14:20:00-05:00,Monday,01-01,14:20:00,757,749
87,421 - NorthSide,2018-01-01 14:30:00-05:00,Monday,01-01,14:30:00,757,749
88,421 - NorthSide,2018-01-01 14:40:00-05:00,Monday,01-01,14:40:00,757,750
89,421 - NorthSide,2018-01-01 14:50:00-05:00,Monday,01-01,14:50:00,757,750
90,421 - NorthSide,2018-01-01 15:00:00-05:00,Monday,01-01,15:00:00,757,751
91,421 - NorthSide,2018-01-01 15:10:00-05:00,Monday,01-01,15:10:00,757,752
92,421 - NorthSide,2018-01-01 15:20:00-05:00,Monday,01-01,15:20:00,757,752
93,421 - NorthSide,2018-01-01 15:30:00-05:00,Monday,01-01,15:30:00,757,751
94,421 - NorthSide,2018-01-01 15:40:00-05:00,Monday,01-01,15:40:00,757,752
95,421 - NorthSide,2018-01-01 15:50:00-05:00,Monday,01-01,15:50:00,757,753
96,421 - NorthSide,2018-01-01 16:00:00-05:00,Monday,01-01,16:00:00,757,752
97,421 - NorthSide,2018-01-01 16:10:00-05:00,Monday,01-01,16:10:00,757,752
98,421 - NorthSide,2018-01-01 16:20:00-05:00,Monday,01-01,16:20:00,757,753
99,421 - NorthSide,2018-01-01 16:30:00-05:00,Monday,01-01,16:30:00,757,752
100,421 - NorthSide,2018-01-01 16:40:00-05:00,Monday,01-01,16:40:00,757,751
101,421 - NorthSide,2018-01-01 16:50:00-05:00,Monday,01-01,16:50:00,757,751
102,421 - NorthSide,2018-01-01 17:00:00-05:00,Monday,01-01,17:00:00,757,751
103,421 - NorthSide,2018-01-01 17:10:00-05:00,Monday,01-01,17:10:00,757,751
104,421 - NorthSide,2018-01-01 17:20:00-05:00,Monday,01-01,17:20:00,757,750
105,421 - NorthSide,2018-01-01 17:30:00-05:00,Monday,01-01,17:30:00,757,751
106,421 - NorthSide,2018-01-01 17:40:00-05:00,Monday,01-01,17:40:00,757,752
107,421 - NorthSide,2018-01-01 17:50:00-05:00,Monday,01-01,17:50:00,757,752
108,421 - NorthSide,2018-01-01 18:00:00-05:00,Monday,01-01,18:00:00,757,757
