,zone,start,day_of_week,date,time,total_spaces,free_spaces
0,423 - West End,2018-01-01 00:00:00-05:00,Monday,01-01,00:00:00,52,52
1,423 - West End,2018-01-01 00:10:00-05:00,Monday,01-01,00:10:00,52,52
2,423 - West End,2018-01-01 00:20:00-05:00,Monday,01-01,00:20:00,52,52
3,423 - West End,2018-01-01 00:30:00-05:00,Monday,01-01,00:30:00,52,52
4,423 - West End,2018-01-01 00:40:00-05:00,Monday,01-01,00:40:00,52,52
5,423 - West End,2018-01-01 00:50:00-05:00,Monday,01-01,00:50:00,52,52
6,423 - West End,2018-01-01 01:00:00-05:00,Monday,01-01,01:00:00,52,52
7,423 - West End,2018-01-01 01:10:00-05:00,Monday,01-01,01:10:00,52,52
8,423 - West End,2018-01-01 01:20:00-05:00,Monday,01-01,01:20:00,52,52
9,423 - West End,2018-01-01 01:30:00-05:00,Monday,01-01,01:30:00,52,52
10,423 - West End,2018-01-01 01:40:00-05:00,Monday,01-01,01:40:00,52,52
11,423 - West End,2018-01-01 01:50:00-05:00,Monday,01-01,01:50:00,52,52
12,423 - West End,2018-01-01 02:00:00-05:00,Monday,01-01,02:00:00,52,52
13,423 - West End,2018-01-01 02:10:00-05:00,Monday,01-01,02:10:00,52,52
14,423 - West End,2018-01-01 02:20:00-05:00,Monday,01-01,02:20:00,52,52
15,423 - West End,2018-01-01 02:30:00-05:00,Monday,01-01,02:30:00,52,52
16,423 - West End,2018-01-01 02:40:00-05:00,Monday,01-01,02:40:00,52,52
17,423 - West End,2018-01-01 02:50:00-05:00,Monday,01-01,02:50:00,52,52
18,423 - West End,2018-01-01 03:00:00-05:00,Monday,01-01,03:00:00,52,52
19,423 - West End,2018-01-01 03:10:00-05:00,Monday,01-01,03:10:00,52,52
20,423 - West End,2018-01-01 03:20:00-05:00,Monday,01-01,03:20:00,52,52
21,423 - West End,2018-01-01 03:30:00-05:00,Monday,01-01,03:30:00,52,52
22,423 - West End,2018-01-01 03:40:00-05:00,Monday,01-01,03:40:00,52,52
23,423 - West End,2018-01-01 03:50:00-05:00,Monday,01-01,03:50:00,52,52
24,423 - West End,2018-01-01 04:00:00-05:00,Monday,01-01,04:00:00,52,52
25,423 - West End,2018-01-01 04:10:00-05:00,Monday,01-01,04:10:00,52,52
26,423 - West End,2018-01-01 04:20:00-05:00,Monday,01-01,04:20:00,52,52
27,423 - West End,2018-01-01 04:30:00-05:00,Monday,01-01,04:30:00,52,52
28,423 - West End,2018-01-01 04:40:00-05:00,Monday,01-01,04:40:00,52,52
29,423 - West End,2018-01-01 04:50:00-05:00,Monday,01-01,04:50:00,52,52
30,423 - West End,2018-01-01 05:00:00-05:00,Monday,01-01,05:00:00,52,52
31,423 - West End,2018-01-01 05:10:00-05:00,Monday,01-01,05:10:00,52,52
32,423 - West End,2018-01-01 05:20:00-05:00,Monday,01-01,05:20:00,52,52
33,423 - West End,2018-01-01 05:30:00-05:00,Monday,01-01,05:30:00,52,52
34,423 - West End,2018-01-01 05:40:00-05:00,Monday,01-01,05:40:00,52,52
35,423 - West End,2018-01-01 05:50:00-05:00,Monday,01-01,05:50:00,52,52
36,423 - West End,2018-01-01 06:00:00-05:00,Monday,01-01,06:00:00,52,52
37,423 - West End,2018-01-01 06:10:00-05:00,Monday,01-01,06:10:00,52,52
38,423 - West End,2018-01-01 06:20:00-05:00,Monday,01-01,06:20:00,52,52
39,423 - West End,2018-01-01 06:30:00-05:00,Monday,01-01,06:30:00,52,52
40,423 - West End,2018-01-01 06:40:00-05:00,Monday,01-01,06:40:00,52,52
41,423 - West End,2018-01-01 06:50:00-05:00,Monday,01-01,06:50:00,52,52
42,423 - West End,2018-01-01 07:00:00-05:00,Monday,01-01,07:00:00,52,52
43,423 - West End,2018-01-01 07:10:00-05:00,Monday,01-01,07:10:00,52,52
44,423 - West End,2018-01-01 07:20:00-05:00,Monday,01-01,07:20:00,52,52
45,423 - West End,2018-01-01 07:30:00-05:00,Monday,01-01,07:30:00,52,52
46,423 - West End,2018-01-01 07:40:00-05:00,Monday,01-01,07:40:00,52,52
47,423 - West End,2018-01-01 07:50:00-05:00,Monday,01-01,07:50:00,52,52
48,423 - West End,2018-01-01 08:00:00-05:00,Monday,01-01,08:00:00,52,52
49,423 - West End,2018-01-01 08:10:00-05:00,Monday,01-01,08:10:00,52,52
50,423 - West End,2018-01-01 08:20:00-05:00,Monday,01-01,08:20:00,52,52
51,423 - West End,2018-01-01 08:30:00-05:00,Monday,01-01,08:30:00,52,52
52,423 - West End,2018-01-01 08:40:00-05:00,Monday,01-01,08:40:00,52,52
53,423 - West End,2018-01-01 08:50:00-05:00,Monday,01-01,08:50:00,52,52
54,423 - West End,2018-01-01 09:00:00-05:00,Monday,01-01,09:00:00,52,52
55,423 - West End,2018-01-01 09:10:00-05:00,Monday,01-01,09:10:00,52,52
56,423 - West End,2018-01-01 09:20:00-05:00,Monday,01-01,09:20:00,52,52
57,423 - West End,2018-01-01 09:30:00-05:00,Monday,01-01,09:30:00,52,52
58,423 - West End,2018-01-01 09:40:00-05:00,Monday,01-01,09:40:00,52,52
59,423 - West End,2018-01-01 09:50:00-05:00,Monday,01-01,09:50:00,52,52
60,423 - West End,2018-01-01 10:00:00-05:00,Monday,01-01,10:00:00,52,52
61,423 - West End,2018-01-01 10:10:00-05:00,Monday,01-01,10:10:00,52,52
62,423 - West End,2018-01-01 10:20:00-05:00,Monday,01-01,10:20:00,52,52
63,423 - West End,2018-01-01 10:30:00-05:00,Monday,01-01,10:30:00,52,52
64,423 - West End,2018-01-01 10:40:00-05:00,Monday,01-01,10:40:00,52,52
65,423 - West End,2018-01-01 10:50:00-05:00,Monday,01-01,10:50:00,52,52
66,423 - West End,2018-01-01 11:00:00-05:00,Monday,01-01,11:00:00,52,52
67,423 - West End,2018-01-01 11:10:00-05:00,Monday,01-01,11:10:00,52,52
68,423 - West End,2018-01-01 11:20:00-05:00,Monday,01-01,11:20:00,52,52
69,423 - West End,2018-01-01 11:30:00-05:00,Monday,01-01,11:30:00,52,52
70,423 - West End,2018-01-01 11:40:00-05:00,Monday,01-01,11:40:00,52,52
71,423 - West End,2018-01-01 11:50:00-05:00,Monday,01-01,11:50:00,52,52
72,423 - West End,2018-01-01 12:00:00-05:00,Monday,01-01,12:00:00,52,52
73,423 - West End,2018-01-01 12:10:00-05:00,Monday,01-01,12:10:00,52,52
74,423 - West End,2018-01-01 12:20:00-05:00,Monday,01-01,12:20:00,52,52
75,423 - West End,2018-01-01 12:30:00-05:00,Monday,01-01,12:30:00,52,52
76,423 - West End,2018-01-01 12:40:00-05:00,Monday,01-01,12:40:00,52,52
77,423 - West End,2018-01-01 12:50:00-05:00,Monday,01-01,12:50:00,52,52
78,423 - West End,2018-01-01 13:00:00-05:00,Monday,01-01,13:00:00,52,52
79,423 - West End,2018-01-01 13:10:00-05:00,Monday,01-01,13:10:00,52,52
80,423 - West End,2018-01-01 13:20:00-05:00,Monday,01-01,13:20:00,52,52
81,423 - West End,2018-01-01 13:30:00-05:00,Monday,01-01,13:30:00,52,52
82,423 - West End,2018-01-01 13:40:00-05:00,Monday,01-01,13:40:00,52,52
83,423 - West End,2018-01-01 13:50:00-05:00,Monday,01-01,13:50:00,52,52
84,423 - West End,2018-01-01 14:00:00-05:00,Monday,01-01,14:00:00,52,52
85,423 - West End,2018-01-01 14:10:00-05:00,Monday,01-01,14:10:00,52,52
86,423 - West End,2018-01-01 14:20:00-05:00,Monday,01-01,14:20:00,52,52
87,423 - West End,2018-01-01 14:30:00-05:00,Monday,01-01,14:30:00,52,52
88,423 - West End,2018-01-01 14:40:00-05:00,Monday,01-01,14:40:00,52,52
89,423 - West End,2018-01-01 14:50:00-05:00,Monday,01-01,14:50:00,52,52
90,423 - West End,2018-01-01 15:00:00-05:00,Monday,01-01,15:00:00,52,52
91,423 - West End,2018-01-01 15:10:00-05:00,Monday,01-01,15:10:00,52,52
92,423 - West End,2018-01-01 15:20:00-05:00,Monday,01-01,15:20:00,52,52
93,423 - West End,2018-01-01 15:30:00-05:00,Monday,01-01,15:30:00,52,52
94,423 - West End,2018-01-01 15:40:00-05:00,Monday,01-01,15:40:00,52,52
95,423 - West End,2018-01-01 15:50:00-05:00,Monday,01-01,15:50:00,52,52
96,423 - West End,2018-01-01 16:00:00-05:00,Monday,01-01,16:00:00,52,52
97,423 - West End,2018-01-01 16:10:00-05:00,Monday,01-01,16:10:00,52,52
98,423 - West End,2018-01-01 16:20:00-05:00,Monday,01-01,16:20:00,52,52
99,423 - West End,2018-01-01 16:30:00-05:00,Monday,01-01,16:30:00,52,52
100,423 - West End,2018-01-01 16:40:00-05:00,Monday,01-01,16:40:00,52,52
101,423 - West End,2018-01-01 16:50:00-05:00,Monday,01-01,16:50:00,52,52
102,423 - West End,2018-01-01 17:00:00-05:00,Monday,01-01,17:00:00,52,52
103,423 - West End,2018-01-01 17:10:00-05:00,Monday,01-01,17:10:00,52,52
104,423 - West End,2018-01-01 17:20:00-05:00,Monday,01-01,17:20:00,52,52
105,423 - West End,2018-01-01 17:30:00-05:00,Monday,01-01,17:30:00,52,52
106,423 - West End,2018-01-01 17:40:00-05:00,Monday,01-01,17:40:00,52,52
107,423 - West End,2018-01-01 17:50:00-05:00,Monday,01-01,17:50:00,52,52
108,423 - West End,2018-01-01 18:00:00-05:00,Monday,01-01,18:00:00,52,52
109,423 - West End,2018-01-01 18:10:00-05:00,Monday,01-01,18:10:00,52,52
110,423 - West End,2018-01-01 18:20:00-05:00,Monday,01-01,18:20:00,52,52
111,423 - West End,2018-01-01 18:30:00-05:00,Monday,01-01,18:30:00,52,52
112,423 - West End,2018-01-01 18:40:00-05:00,Monday,01-01,18:40:00,52,52
113,423 - West End,2018-01-01 18:50:00-05:00,Monday,01-01,18:50:00,52,52
114,423 - West End,2018-01-01 19:00:00-05:00,Monday,01-01,19:00:00,52,52
115,423 - West End,2018-01-01 19:10:00-05:00,Monday,01-01,19:10:00,52,52
116,423 - West End,2018-01-01 19:20:00-05:00,Monday,01-01,19:20:00,52,52
117,423 - West End,2018-01-01 19:30:00-05:00,Monday,01-01,19:30:00,52,52
118,423 - West End,2018-01-01 19:40:00-05:00,Monday,01-01,19:40:00,52,52
119,423 - West End,2018-01-01 19:50:00-05:00,Monday,01-01,19:50:00,52,52
120,423 - West End,2018-01-01 20:00:00-05:00,Monday,01-01,20:00:00,52,52
121,423 - West End,2018-01-01 20:10:00-05:00,Monday,01-01,20:10:00,52,52
122,423 - West End,2018-01-01 20:20:00-05:00,Monday,01-01,20:20:00,52,52
123,423 - West End,2018-01-01 20:30:00-05:00,Monday,01-01,20:30:00,52,52
124,423 - West End,2018-01-01 20:40:00-05:00,Monday,01-01,20:40:00,52,52
125,423 - West End,2018-01-01 20:50:00-05:00,Monday,01-01,20:50:00,52,52
126,423 - West End,2018-01-01 21:00:00-05:00,Monday,01-01,21:00:00,52,52
127,423 - West End,2018-01-01 21:10:00-05:00,Monday,01-01,21:10:00,52,52
128,423 - West End,2018-01-01 21:20:00-05:00,Monday,01-01,21:20:00,52,52
129,423 - West End,2018-01-01 21:30:00-05:00,Monday,01-01,21:30:00,52,52
130,423 - West End,2018-01-01 21:40:00-05:00,Monday,01-01,21:40:00,52,52
131,423 - West End,2018-01-01 21:50:00-05:00,Monday,01-01,21:50:00,52,52
132,423 - West End,2018-01-01 22:00:00-05:00,Monday,01-01,22:00:00,52,52
133,423 - West End,2018-01-01 22:10:00-05:00,Monday,01-01,22:10:00,52,52
134,423 - West End,2018-01-01 22:20:00-05:00,Monday,01-01,22:20:00,52,52
