,zone,start,day_of_week,date,time,total_spaces,free_spaces
0,425 - Bakery Sq,2018-01-01 00:00:00-05:00,Monday,01-01,00:00:00,45,45
1,425 - Bakery Sq,2018-01-01 00:10:00-05:00,Monday,01-01,00:10:00,45,45
2,425 - Bakery Sq,2018-01-01 00:20:00-05:00,Monday,01-01,00:20:00,45,45
3,425 - Bakery Sq,2018-01-01 00:30:00-05:00,Monday,01-01,00:30:00,45,45
4,425 - Bakery Sq,2018-01-01 00:40:00-05:00,Monday,01-01,00:40:00,45,45
5,425 - Bakery Sq,2018-01-01 00:50:00-05:00,Monday,01-01,00:50:00,45,45
6,425 - Bakery Sq,2018-01-01 01:00:00-05:00,Monday,01-01,01:00:00,45,45
7,425 - Bakery Sq,2018-01-01 01:10:00-05:00,Monday,01-01,01:10:00,45,45
8,425 - Bakery Sq,2018-01-01 01:20:00-05:00,Monday,01-01,01:20:00,45,45
9,425 - Bakery Sq,2018-01-01 01:30:00-05:00,Monday,01-01,01:30:00,45,45
10,425 - Bakery Sq,2018-01-01 01:40:00-05:00,Monday,01-01,01:40:00,45,45
11,425 - Bakery Sq,2018-01-01 01:50:00-05:00,Monday,01-01,01:50:00,45,45
12,425 - Bakery Sq,2018-01-01 02:00:00-05:00,Monday,01-01,02:00:00,45,45
13,425 - Bakery Sq,2018-01-01 02:10:00-05:00,Monday,01-01,02:10:00,45,45
14,425 - Bakery Sq,2018-01-01 02:20:00-05:00,Monday,01-01,02:20:00,45,45
15,425 - Bakery Sq,2018-01-01 02:30:00-05:00,Monday,01-01,02:30:00,45,45
16,425 - Bakery Sq,2018-01-01 02:40:00-05:00,Monday,01-01,02:40:00,45,45
17,425 - Bakery Sq,2018-01-01 02:50:00-05:00,Monday,01-01,02:50:00,45,45
18,425 - Bakery Sq,2018-01-01 03:00:00-05:00,Monday,01-01,03:00:00,45,45
19,425 - Bakery Sq,2018-01-01 03:10:00-05:00,Monday,01-01,03:10:00,45,45
20,425 - Bakery Sq,2018-01-01 03:20:00-05:00,Monday,01-01,03:20:00,45,45
21,425 - Bakery Sq,2018-01-01 03:30:00-05:00,Monday,01-01,03:30:00,45,45
22,425 - Bakery Sq,2018-01-01 03:40:00-05:00,Monday,01-01,03:40:00,45,45
23,425 - Bakery Sq,2018-01-01 03:50:00-05:00,Monday,01-01,03:50:00,45,45
24,425 - Bakery Sq,2018-01-01 04:00:00-05:00,Monday,01-01,04:00:00,45,45
25,425 - Bakery Sq,2018-01-01 04:10:00-05:00,Monday,01-01,04:10:00,45,45
26,425 - Bakery Sq,2018-01-01 04:20:00-05:00,Monday,01-01,04:20:00,45,45
27,425 - Bakery Sq,2018-01-01 04:30:00-05:00,Monday,01-01,04:30:00,45,45
28,425 - Bakery Sq,2018-01-01 04:40:00-05:00,Monday,01-01,04:40:00,45,45
29,425 - Bakery Sq,2018-01-01 04:50:00-05:00,Monday,01-01,04:50:00,45,45
30,425 - Bakery Sq,2018-01-01 05:00:00-05:00,Monday,01-01,05:00:00,45,45
31,425 - Bakery Sq,2018-01-01 05:10:00-05:00,Monday,01-01,05:10:00,45,45
32,425 - Bakery Sq,2018-01-01 05:20:00-05:00,Monday,01-01,05:20:00,45,45
33,425 - Bakery Sq,2018-01-01 05:30:00-05:00,Monday,01-01,05:30:00,45,45
34,425 - Bakery Sq,2018-01-01 05:40:00-05:00,Monday,01-01,05:40:00,45,45
35,425 - Bakery Sq,2018-01-01 05:50:00-05:00,Monday,01-01,05:50:00,45,45
36,425 - Bakery Sq,2018-01-01 06:00:00-05:00,Monday,01-01,06:00:00,45,45
37,425 - Bakery Sq,2018-01-01 06:10:00-05:00,Monday,01-01,06:10:00,45,45
38,425 - Bakery Sq,2018-01-01 06:20:00-05:00,Monday,01-01,06:20:00,45,45
39,425 - Bakery Sq,2018-01-01 06:30:00-05:00,Monday,01-01,06:30:00,45,45
40,425 - Bakery Sq,2018-01-01 06:40:00-05:00,Monday,01-01,06:40:00,45,45
41,425 - Bakery Sq,2018-01-01 06:50:00-05:00,Monday,01-01,06:50:00,45,45
42,425 - Bakery Sq,2018-01-01 07:00:00-05:00,Monday,01-01,07:00:00,45,45
43,425 - Bakery Sq,2018-01-01 07:10:00-05:00,Monday,01-01,07:10:00,45,45
44,425 - Bakery Sq,2018-01-01 07:20:00-05:00,Monday,01-01,07:20:00,45,45
45,425 - Bakery Sq,2018-01-01 07:30:00-05:00,Monday,01-01,07:30:00,45,45
46,425 - Bakery Sq,2018-01-01 07:40:00-05:00,Monday,01-01,07:40:00,45,45
47,425 - Bakery Sq,2018-01-01 07:50:00-05:00,Monday,01-01,07:50:00,45,45
48,425 - Bakery Sq,2018-01-01 08:00:00-05:00,Monday,01-01,08:00:00,45,45
49,425 - Bakery Sq,2018-01-01 08:10:00-05:00,Monday,01-01,08:10:00,45,45
50,425 - Bakery Sq,2018-01-01 08:20:00-05:00,Monday,01-01,08:20:00,45,45
51,425 - Bakery Sq,2018-01-01 08:30:00-05:00,Monday,01-01,08:30:00,45,45
52,425 - Bakery Sq,2018-01-01 08:40:00-05:00,Monday,01-01,08:40:00,45,45
53,425 - Bakery Sq,2018-01-01 08:50:00-05:00,Monday,01-01,08:50:00,45,45
54,425 - Bakery Sq,2018-01-01 09:00:00-05:00,Monday,01-01,09:00:00,45,45
55,425 - Bakery Sq,2018-01-01 09:10:00-05:00,Monday,01-01,09:10:00,45,45
56,425 - Bakery Sq,2018-01-01 09:20:00-05:00,Monday,01-01,09:20:00,45,45
57,425 - Bakery Sq,2018-01-01 09:30:00-05:00,Monday,01-01,09:30:00,45,45
58,425 - Bakery Sq,2018-01-01 09:40:00-05:00,Monday,01-01,09:40:00,45,45
59,425 - Bakery Sq,2018-01-01 09:50:00-05:00,Monday,01-01,09:50:00,45,45
60,425 - Bakery Sq,2018-01-01 10:00:00-05:00,Monday,01-01,10:00:00,45,45
61,425 - Bakery Sq,2018-01-01 10:10:00-05:00,Monday,01-01,10:10:00,45,45
62,425 - Bakery Sq,2018-01-01 10:20:00-05:00,Monday,01-01,10:20:00,45,45
63,425 - Bakery Sq,2018-01-01 10:30:00-05:00,Monday,01-01,10:30:00,45,45
64,425 - Bakery Sq,2018-01-01 10:40:00-05:00,Monday,01-01,10:40:00,45,45
65,425 - Bakery Sq,2018-01-01 10:50:00-05:00,Monday,01-01,10:50:00,45,45
66,425 - Bakery Sq,2018-01-01 11:00:00-05:00,Monday,01-01,11:00:00,45,45
67,425 - Bakery Sq,2018-01-01 11:10:00-05:00,Monday,01-01,11:10:00,45,45
68,425 - Bakery Sq,2018-01-01 11:20:00-05:00,Monday,01-01,11:20:00,45,45
69,425 - Bakery Sq,2018-01-01 11:30:00-05:00,Monday,01-01,11:30:00,45,45
70,425 - Bakery Sq,2018-01-01 11:40:00-05:00,Monday,01-01,11:40:00,45,45
71,425 - Bakery Sq,2018-01-01 11:50:00-05:00,Monday,01-01,11:50:00,45,45
72,425 - Bakery Sq,2018-01-01 12:00:00-05:00,Monday,01-01,12:00:00,45,45
73,425 - Bakery Sq,2018-01-01 12:10:00-05:00,Monday,01-01,12:10:00,45,45
74,425 - Bakery Sq,2018-01-01 12:20:00-05:00,Monday,01-01,12:20:00,45,45
75,425 - Bakery Sq,2018-01-01 12:30:00-05:00,Monday,01-01,12:30:00,45,45
76,425 - Bakery Sq,2018-01-01 12:40:00-05:00,Monday,01-01,12:40:00,45,45
77,425 - Bakery Sq,2018-01-01 12:50:00-05:00,Monday,01-01,12:50:00,45,45
78,425 - Bakery Sq,2018-01-01 13:00:00-05:00,Monday,01-01,13:00:00,45,45
79,425 - Bakery Sq,2018-01-01 13:10:00-05:00,Monday,01-01,13:10:00,45,45
80,425 - Bakery Sq,2018-01-01 13:20:00-05:00,Monday,01-01,13:20:00,45,45
81,425 - Bakery Sq,2018-01-01 13:30:00-05:00,Monday,01-01,13:30:00,45,45
82,425 - Bakery Sq,2018-01-01 13:40:00-05:00,Monday,01-01,13:40:00,45,45
83,425 - Bakery Sq,2018-01-01 13:50:00-05:00,Monday,01-01,13:50:00,45,45
84,425 - Bakery Sq,2018-01-01 14:00:00-05:00,Monday,01-01,14:00:00,45,45
85,425 - Bakery Sq,2018-01-01 14:10:00-05:00,Monday,01-01,14:10:00,45,45
86,425 - Bakery Sq,2018-01-01 14:20:00-05:00,Monday,01-01,14:20:00,45,45
87,425 - Bakery Sq,2018-01-01 14:30:00-05:00,Monday,01-01,14:30:00,45,45
88,425 - Bakery Sq,2018-01-01 14:40:00-05:00,Monday,01-01,14:40:00,45,45
89,425 - Bakery Sq,2018-01-01 14:50:00-05:00,Monday,01-01,14:50:00,45,45
90,425 - Bakery Sq,2018-01-01 15:00:00-05:00,Monday,01-01,15:00:00,45,45
91,425 - Bakery Sq,2018-01-01 15:10:00-05:00,Monday,01-01,15:10:00,45,45
92,425 - Bakery Sq,2018-01-01 15:20:00-05:00,Monday,01-01,15:20:00,45,45
93,425 - Bakery Sq,2018-01-01 15:30:00-05:00,Monday,01-01,15:30:00,45,45
94,425 - Bakery Sq,2018-01-01 15:40:00-05:00,Monday,01-01,15:40:00,45,45
95,425 - Bakery Sq,2018-01-01 15:50:00-05:00,Monday,01-01,15:50:00,45,45
96,425 - Bakery Sq,2018-01-01 16:00:00-05:00,Monday,01-01,16:00:00,45,45
97,425 - Bakery Sq,2018-01-01 16:10:00-05:00,Monday,01-01,16:10:00,45,45
98,425 - Bakery Sq,2018-01-01 16:20:00-05:00,Monday,01-01,16:20:00,45,45
99,425 - Bakery Sq,2018-01-01 16:30:00-05:00,Monday,01-01,16:30:00,45,45
100,425 - Bakery Sq,2018-01-01 16:40:00-05:00,Monday,01-01,16:40:00,45,45
101,425 - Bakery Sq,2018-01-01 16:50:00-05:00,Monday,01-01,16:50:00,45,45
102,425 - Bakery Sq,2018-01-01 17:00:00-05:00,Monday,01-01,17:00:00,45,45
103,425 - Bakery Sq,2018-01-01 17:10:00-05:00,Monday,01-01,17:10:00,45,45
104,425 - Bakery Sq,2018-01-01 17:20:00-05:00,Monday,01-01,17:20:00,45,45
105,425 - Bakery Sq,2018-01-01 17:30:00-05:00,Monday,01-01,17:30:00,45,45
106,425 - Bakery Sq,2018-01-01 17:40:00-05:00,Monday,01-01,17:40:00,45,45
107,425 - Bakery Sq,2018-01-01 17:50:00-05:00,Monday,01-01,17:50:00,45,45
108,425 - Bakery Sq,2018-01-01 18:00:00-05:00,Monday,01-01,18:00:00,45,45
109,425 - Bakery Sq,2018-01-01 18:10:00-05:00,Monday,01-01,18:10:00,45,45
110,425 - Bakery Sq,2018-01-01 18:20:00-05:00,Monday,01-01,18:20:00,45,45
111,425 - Bakery Sq,2018-01-01 18:30:00-05:00,Monday,01-01,18:30:00,45,45
112,425 - Bakery Sq,2018-01-01 18:40:00-05:00,Monday,01-01,18:40:00,45,45
113,425 - Bakery Sq,2018-01-01 18:50:00-05:00,Monday,01-01,18:50:00,45,45
